Suffix
xlsx
a
aam
aas
abf
abk
abs
ace
acm
acp
act
ad
ada
adb
adf
adi
adm
adp
adr
ads
afm
af2
af3
ai
aiff
aif
aifc
aim
ais
akw
alb
all
ams
anc
ani
ans
ant
api
aps
apk
ari
arj
art
asa
asc
asd
ase
asf
asm
aso
asp
asv
asx
atw
au
avb
avi
avr
avs
awd
awr
axx
a4m
a3m
a4p
a3w
a4w
a5w
bak
bas
bat
bdf
bgl
bi
bif
biff
bin
bk$
bk
bks
bmk
bmp
book
brx
bsp
btm
bud
bun
bw
bwv
c
cab
cad
cal
cap
cas
cb
cc
ccb
cch
cco
cct
cda
cdf
cdi
cdm
cdr
cdt
cdx
cfg
cgi
cgm
chk
chm
chr
cif
cil
class
cll
clp
cls
cmf
cmv
cmx
cnf
cnm
cnt
cod
com
cpl
cpo
cpp
cpr
cpt
cpx
crd
crp
crt
csc
csp
cst
csv
ctl
cur
cv
cxx
dat
db
dbc
dbf
dbx
dcm
dcs
dct
dcu
dcx
dem
der
dewf
dib
dic
dif
dig
dir
diz
dlg
dll
dls
dmd
dmf
doc
dot
draw
drv
drw
dsf
dsg
dsm
dsp
dsq
dsw
dtd
dun
dv
dxf
dxr
eda
edd
emd
emf
eml
ephtml
eps
exe
fav
fax
fcd
fdf
ffo
ffk
ffl
ffa
fif
fla
flc
pli
fm
fml
fng
fnk
fon
fot
frt
frx
ftg
fts
gal
gdb
gdm
gem
gen
getright
gfx
gfi
gho
gif
gix
gim
gkh
gks
gl
gna
gnt
gnx
gra
grf
grp
go
hcom
hgl
hlp
hpj
hpp
hst
ht
html
htm
htt
htx
icb
icc
icl
icm
ico
idd
idf
idq
idx
iff
iges
igf
ilbm
ima
inf
ini
inrs
ins
int
iqy
iso
ist
isu
iwc
j62
jar
java
jbf
jif
jfif
jff
jmp
jpe
js
jsp
jtf
jpeg
jpg
k25
kar
kdc
key
kfx
kiz
kkw
kmp
kqp
lab
lbm
lbx
lbt
ldb
ldl
leg
lft
lgo
lha
lib
lin
lis
llx
lnk
log
lst
lu
lyr
lzh
lzs
m1v
m3u
mad
maf
mam
map
maq
mar
mat
mb1
mbx
mcr
mdb
mde
mdl
mdn
mdw
mdz
mic
mid
mim，
mli
mng
mnu
mod
mov
mp2
mp3
mpa
mpe
mpp
mpr
msg
msi
msn
msp
mst
mtm
mpeg
mpg
nan
nap
ncb
ncd
ncf
nff
nft
nil
nist
nls
nlu
ntx
nwc
nws
obj
ocx
ods
ofn
oft
olb
ole
oogl
opo
p65
pab
part
pas
py
pyc
pyw
pbd
pbl
pbm
pbr
pcd
pcl
pcm
pdd
pdf
pfm
pgl
pgm
ph
php3
php
phtml
pic
pjt
pjx
pkg
png
pot
ppa
ppf
ppm
pps
ppt
prf
prg
prj
prn
prt
psd
psp
pst
pwz
qic
qif
qlb
qry
qtp
qtx
qw
ra
ram
rar
rdf
reg
rep
res
rft
rgb
rm
rmd
rpt
rtf
rul
rvp
sgi
s
sav
sbl
scc
scf
scp
scr
sct
scx
sdt
sdv
sdx
sep
sfd
sfi
sfr
sfx
sgml
shg
shtml
shw
sig
ska
skl
sl
so
spl
sqc
sqr
str
swa
swf
sys
syw
taz
tga
theme
thn
tif
tig
tlb
tmp
tol
tpl
trm
trn
ttf
txt
txw
tiff
udf
ult
url
use
uwf
vbp
vbs
vbw
vbx
vct
vda
vir
viv
vsd
vsl
vss
vst
vsw
vxd
vbp
vbw
vbx
vda
vir
vqf
vsd
vsl
vss
vst
vsw
vxd
vcx
w3l
wab
wad
wav
wbk
wcm
wdb
wfm
wfn
wil
wiz
wll
wmf
wow
wp
wpd
wpf
wpg
wps
wpt
wr1
wrk
wrl
wrz
x
xar
xbm
xi
xla
xlb
xlc
xld
xlk
xll
xlm
xls
xlt
xlv
xlw
xnk
xpm
xwd
xwf
x16
x32
yal
z
zap
zip
7z
pptx
